Day,Time,Address,Suburb,Postcode,Provider,Food,Cost,Type,Status,Latitude,Longitude
Monday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Monday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Monday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Monday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Monday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Tuesday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Tuesday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Monday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Monday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Monday,19:00:00,Emma Miller Place,Brisbane,4000,Vital Connection,Vegetarian,Free,Van,Active,-27.467,153.022
Monday,19:30:00,"Emma Miller Place, Roma Street",Brisbane,4000,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.466,153.019
Tuesday,06:45:00,Kemp Place (opposite Fire Station),Fortitude Valley,4006,Nudgee College BBQ,BBQ,Free,Van,Active,-27.46,153.034
Tuesday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Tuesday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Tuesday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Tuesday,08:00:00,43 St Pauls Terrace,Spring Hill,4000,St Pauls Presbyterian Church,"Morning Cuppa, during School Terms",Free,Kitchen,Active,-27.46,153.027
Tuesday,19:00:00,Emma Miller Place/Little Roma Street,Brisbane,4000,Eddies Night Van,Drinks & Snacks,Free,Van,Active,-27.467,153.021
Wednesday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Wednesday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Wednesday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Wednesday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Wednesday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Thursday,07:45:00,166 Sydney Street,New Farm,4005,Metro Community Care,"Breakfast, Fruit & Veg",Free,Kitchen,Active,-27.465,153.05
Wednesday,08:30:00,105 Commercial Road,Newstead,4006,Footprints in Brisbane Inc,Lunch,Gold Coin,Kitchen,Active,-27.454,153.047
Wednesday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Thursday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Thursday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Thursday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Thursday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Thursday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Thursday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Friday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Friday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Friday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Friday,06:30:00,"Kemp Place, Ivory Street, Opposite Fire Station",Fortitude Valley,4006,Jimmies Van,"BBQ breakfast of sausages, bacon and eggs",Free,Van,Active,-27.46,153.035
Friday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Friday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Friday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Friday,17:30:00,"Sandgate Community Centre, 153 Rainbow Street",Sandgate,4107,Manna from Heaven Sandgate Inc.,Hot nutritious meal,Free,Kitchen,Active,-27.322,153.073
Friday,19:00:00,11 Quarry Street,Spring Hill,4000,Mama Renes,Hot Food,Free,Van,Active,-27.458,153.028
Friday,19:30:00,"Carey Park, Marine Pde (end of Short St)",Southport,4215,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-27.97,153.415
Friday,19:00:00,"Peoples Place Park (Car Park), Corner Station Road & Wembley Road",Logan,4114,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.641,153.106
Friday,20:00:00,"Outside Caboolture Train Station, 5 James Street",Caboolture,4510,Rosies Youth Mission Inc,Snacks and Drinks,Free,Van,Active,-27.083,152.952
Friday,19:30:00,"Felicity Park, 75 Bulcock Street",Caloundra,4551,Rosies Youth Mission Inc,Snacks and  Drinks,Free,Van,Active,-26.804,153.13
Friday,21:00:00,The Esplanade Beachside (end of Hanlan St),Surfers Paradise,4217,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-28.003,153.429
Saturday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Saturday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Saturday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Saturday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Saturday,17:30:00,"Einbunpin Lagoon, corner of Brighton Road and Keogh Streets",Sandgate,4107,Paddies Van,BBQ Dinner,Free. Every second Saturday,Van,Active,-27.318,153.068
Saturday,19:45:00,Emma Miller Place,Brisbane,4000,Vital Connection,Vegetarian,Free,Van,Active,-27.467,153.022
Saturday,19:30:00,"Carey Park, Marine Pde (end of Short St)",Southport,4215,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-27.97,153.415
Saturday,21:00:00,The Esplanade Beachside (end of Hanlan St),Surfers Paradise,4217,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-28.003,153.429
Sunday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Sunday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Sunday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Sunday,19:00:00,Emma Miller Place,Brisbane,4000,Vital Connection,Vegetarian,Free,Van,Active,-27.467,153.022
Monday,12:30:00,"Boarding Houses, Corner Gregory Terrace and Boundary Street",Spring Hill,4000,Drug Arm MOSHPIT,Drink and Biscuits (GP & Nurse),Free,Van,Active,-27.46,153.018
Tuesday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Drug Arm MOSHPIT,Drink and Biscuits (Nurse),Free,Van,Active,-27.46,153.034
Friday,09:30:00,"Small Park / AAA Kiosk, Boundary Street",West End,4101,Drug Arm MOSHPIT,Drink and Biscuits (Nurse),Free,Van,Active,-27.479,153.012
Tuesday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Wednesday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Thursday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Friday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Monday,11:45:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Hot Lunch,Hot Lunch $4.70. Free soup 8.30am - 12.30pm.,Kitchen,Active,-27.461,153.038
Tuesday,11:45:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Hot Lunch,Hot Lunch $2.35. Free soup 8.30am - 12.30pm.,Kitchen,Active,-27.461,153.038
Wednesday,11:45:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Hot Lunch,Hot Lunch $4.70. Free soup 8.30am - 12.30pm.,Kitchen,Active,-27.461,153.038
Thursday,11:45:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,"Hot Lunch, Free. Free soup 8.30am - 12.30pm.","Hot Lunch, Free. Free soup 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Friday,11:45:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Hot Lunch,Hot Lunch $4.70. Free soup 8.30am - 12.30pm.,Kitchen,Active,-27.461,153.038
Monday,08:30:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Breakfast,"Free porridge, cereal, toast. Hot Breakfast made to order $3.70. Free soup from 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Tuesday,08:30:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Breakfast,"Free porridge, cereal, toast. Hot Breakfast made to order $3.70. Free soup from 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Wednesday,08:30:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Breakfast,"Free porridge, cereal, toast. Hot Breakfast made to order $3.70. Free soup from 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Thursday,08:30:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Breakfast,"Free porridge, cereal, toast. Hot Breakfast made to order $3.70. Free soup from 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Friday,08:30:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Breakfast,"Free porridge, cereal, toast. Hot Breakfast made to order $3.70. Free soup from 8.30am - 12.30pm.",Kitchen,Active,-27.461,153.038
Tuesday,19:00:00,11 Quarry Street,Spring Hill,4000,Mama Renes,Hot Food,Free,Van,Active,-27.458,153.028
Tuesday,19:30:00,The Esplanade Beachside (end of Hanlan St),Surfers Paradise,4217,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-28.003,153.429
Wednesday,17:30:00,"Boat Ramp Parking Bay, Riverside Drive",West End,4101,"MATES BBQ, Marist College",Hamburgers & Cold Drinks,Free,Van,Active,-27.472,153.01
Wednesday,17:30:00,Queens Park,Ipswich,4305,Footprints in the Park,BBQ,Free,Van,Active,-27.615,152.77
Wednesday,18:15:00,316 St Pauls Terrace,Fortitude Valley,4006,Wesley Mission Community Dinner2,Hot Drinks,Free,Kitchen,Active,-27.455,153.031
Wednesday,19:00:00,"Peoples Place Park (Car Park), Corner Station Road & Wembley Road",Logan,4114,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.641,153.106
Thursday,19:30:00,"Anzac Park, Marine Parade (Car Park at Tuesley Jetty)",Southport,4215,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-27.963,153.414
Saturday,08:00:00,Queen Elizabeth Park (South of Coolangatta SLSC & across from KFC),Coolangatta,4225,Chris Morrissey,Cooked breakfast,Free,Van,Active,-28.167,153.536
Wednesday,19:00:00,316 St Pauls Terrace,Fortitude Valley,4006,Wesley Mission Community Dinner2,Hot Food,Free,Kitchen,Active,-27.455,153.031
Friday,17:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Valley Outreach,Drinks and snacks + BBQ,Free. Every second Friday.,Van,Active,-27.46,153.034
Friday,06:50:00,Riverside Drive under Go Between Bridge,West End,4101,Rainbow Van,Hot Dogs & Orange Juice,Free,Van,Active,-27.47,153.014
Tuesday,18:30:00,"City Hall Basement, 64 Adelaide Street",Brisbane,4000,Red Cross Youth Night Cafe,Sit down Hot Meal. 12 - 25 years old ONLY,Free,Kitchen,Active,-27.468,153.023
Thursday,18:30:00,"City Hall Basement, 64 Adelaide Street",Brisbane,4000,Red Cross Youth Night Cafe,Sit down Hot Meal. 12 - 25 years old ONLY,Free,Kitchen,Active,-27.468,153.023
Wednesday,08:00:00,Corner North Street and High Street,Southport,4215,Rosies Youth Mission Inc,BBQ,Free,Van,Active,-27.962,153.408
Friday,08:00:00,Corner North Street and High Street,Southport,4215,Rosies Youth Mission Inc,BBQ,Free,Van,Active,-27.962,153.408
Saturday,18:00:00,Memorial Park,Sandgate,4107,St Vinnies,Various,Free. Every second Saturday,Van,Active,-27.32,153.069
Sunday,16:00:00,"Room 3, Gold Coast Community Centre, 8 Lawson Street",Southport,4215,Angels Kitchen,3-course meal,Free,Kitchen,Active,-27.971,153.413
Saturday,11:00:00,Corner Gold Coast Highway & Monaco Street,Surfers Paradise,4217,Surf City,Meal,Free,Van,Active,-28.017,153.429
Tuesday,11:30:00,Corner Lawson and Garden Street,Southport,4215,Set Free,Meal,Free,Van,Active,-27.97,153.412
Thursday,11:30:00,Corner Lawson and Garden Street,Southport,4215,Set Free,Meal,Free,Van,Active,-27.97,153.412
Monday,11:30:00,36 Hamilton Avenue,Surfers Paradise,4217,Anglican Crisis Care Inc & St John's Drop-in Centre,Meal,$2,Kitchen,Active,-28.006,153.428
Tuesday,11:30:00,36 Hamilton Avenue,Surfers Paradise,4217,Anglican Crisis Care Inc & St John's Drop-in Centre,Meal,$2,Kitchen,Active,-28.006,153.428
Wednesday,11:30:00,36 Hamilton Avenue,Surfers Paradise,4217,Anglican Crisis Care Inc & St John's Drop-in Centre,Meal,$2,Kitchen,Active,-28.006,153.428
Thursday,11:30:00,36 Hamilton Avenue,Surfers Paradise,4217,Anglican Crisis Care Inc & St John's Drop-in Centre,Meal,$2,Kitchen,Active,-28.006,153.428
Friday,11:30:00,36 Hamilton Avenue,Surfers Paradise,4217,Anglican Crisis Care Inc & St John's Drop-in Centre,Meal,$2,Kitchen,Active,-28.006,153.428
Monday,06:00:00,"CWA Hall, 189 Redcliffe Parade",Redcliffe (next to the courthouse),4020,The Breakfast Club Redcliffe,Breakfast,Free,Kitchen,Active,-27.224,153.114
Wednesday,06:00:00,"CWA Hall, 189 Redcliffe Parade",Redcliffe (next to the courthouse),4020,The Breakfast Club Redcliffe,Breakfast,Free,Kitchen,Active,-27.224,153.114
Friday,06:00:00,"CWA Hall, 189 Redcliffe Parade",Redcliffe (next to the courthouse),4020,The Breakfast Club Redcliffe,Breakfast,Free,Kitchen,Active,-27.224,153.114
Friday,18:00:00,Little Roma Street Car park or Emma Miller Place (under Turbot Street overpass),Brisbane,4000,Need(y) For a Feed,Hamburgers & Cold Drinks. Only First Friday of the month,Free. First Friday of the month,Van,Active,-27.467,153.022
Friday,10:25:00,"Westend Marketplace, Montague Road and Jane Street",West End,4101,Drug Arm MOSHPIT,Drink and Biscuits (GP & Nurse),Free,Van,Active,-27.478,153.006
Saturday,18:00:00,"Bulcock Beach Happy Valley, Access off end of Knox Ave",Caloundra,4551,Rosies Youth Mission Inc,Snacks and Drinks,Free. First Saturday of the month ONLY,Van,Active,-26.805,153.134
Thursday,17:30:00,"Bulcock Beach Happy Valley, Access off end of Knox Ave,",Caloundra,4551,Thursday-Share-a-Meal Group,BBQ and Drinks,Free,Van,Active,-26.805,153.134
Friday,19:15:00,"Near Meals On Wheels,19 Price Street",Nambour,4560,Nambour Friday Hamburgers,"Hamburgers, Coffee & Tea",Free,Van,Active,-26.624,152.958
Monday,09:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Breakfast 9am,Free,Kitchen,Active,-26.624,152.958
Tuesday,09:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Breakfast 9am,Free,Kitchen,Active,-26.624,152.958
Wednesday,09:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Breakfast 9am,Free,Kitchen,Active,-26.624,152.958
Friday,09:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Breakfast 9am,Free,Kitchen,Active,-26.624,152.958
Tuesday,18:00:00,"Coolangatta beach front, in front of KFC",Coolangatta,4225,Agape Outreach,"Tea, Coffee, Hot Chocolate and supper provided",Free,Van,Active,-28.168,153.535
Monday,08:30:00,967 Brunswick Street,New Farm,4005,Cafe One,"Breakfast, lunch & quality coffee (eat in or take home)",$4,Kitchen,Active,-27.469,153.048
Tuesday,08:30:00,967 Brunswick Street,New Farm,4005,Cafe One,"Breakfast, lunch & quality coffee (eat in or take home)",$4,Kitchen,Active,-27.469,153.048
Wednesday,08:30:00,967 Brunswick Street,New Farm,4005,Cafe One,"Breakfast, lunch & quality coffee (eat in or take home)",$4,Kitchen,Active,-27.469,153.048
Thursday,08:30:00,967 Brunswick Street,New Farm,4005,Cafe One,"Breakfast, lunch & quality coffee (eat in or take home)",$4,Kitchen,Active,-27.469,153.048
Friday,08:30:00,967 Brunswick Street,New Farm,4005,Cafe One,"Breakfast, lunch & quality coffee (eat in or take home)",$4,Kitchen,Active,-27.469,153.048
Tuesday,18:00:00,"Centenary Lakes, Morayfield Road",Caboolture,4510,Caboolture Community Action,"6.00pm to 8.00pm. Soup, BBQ, Dessert & Drinks",Free,Van,Active,-27.087,152.95
Saturday,18:00:00,6 Bertha Street,Caboolture,4510,Caboolture Community Action,"6.00pm to 8.00pm. Soup, BBQ, Dessert & Drinks",Free,Kitchen,Active,-27.081,152.951
Tuesday,12:00:00,"Goodwin Park, Corner Lanham Street and Jarvis Lane",Coolangatta,4225,"Our Lady of the Rosary, Lunch with Friends",2 Course Lunch,Free,Van,Active,-28.169,153.537
Thursday,12:00:00,"Goodwin Park, Corner Lanham Street and Jarvis Lane",Coolangatta,4225,"Our Lady of the Rosary, Lunch with Friends",2 Course Lunch,Free,Van,Active,-28.171,153.537
Thursday,13:00:00,166 Sydney Street,NEW FARM,4005,Metro Community Care,"Free bag of Fresh Fruit & Vegetables Free tea, coffee and snacks",Free,Kitchen,Active,-27.465,153.05
Monday,17:30:00,20 Price Street,Nambour,4560,Nambour Soup Kitchen,Food and Drinks,Free,Kitchen,Active,-26.623,152.958
Wednesday,17:30:00,20 Price Street,Nambour,4560,Nambour Soup Kitchen,Food and Drinks,Free,Kitchen,Active,-26.623,152.958
Tuesday,19:00:00,"Denmark Guest House, 40 Waghorn Street",Ipswich,4305,Helping Hands Queensland,Food and Drinks,Free,Van,Active,-27.617,152.754
Tuesday,20:00:00,"Lilliput Caring, 68 Chermside Road",Newtown,4305,Helping Hands Queensland,Food and Drinks,Free,Van,Active,-27.618,152.771
Tuesday,19:30:00,"CWA Girls Hostel, Brisbane Street",Ipswich,4305,Helping Hands Queensland,Food and Drinks,Free,Van,Active,-27.614,152.755
Sunday,18:00:00,225 Boundary Street,West End,4101,All Nations Christian Fellowship,Sunday Service and Dinner,Free,Kitchen,Active,-27.482,153.011
Wednesday,18:00:00,"Coolangatta beach front, in front of KFC",Coolangatta,4225,Agape Outreach,Supper including drinks,Free,Van,Active,-28.168,153.535
Friday,17:30:00,Diggers Rest (Cnr Church and Queens Street),Goodna,4300,Footprints in the Park,BBQ,Free,Van,Active,-27.61,152.898
Monday,20:00:00,Corner Russell Street and Boundary Road  (Behind Chicken Shop),West End,4101,Drug Arm SOS (Street Outreach Service),Drinks and Biscuits,Free,Van,Active,-27.479,153.012
Wednesday,20:00:00,Corner Boundary Road and Russell Street (Chicken Shop),West End,4101,Drug Arm SOS (Street Outreach Service),Drinks and Biscuits,Free,Van,Active,-27.479,153.012
Friday,20:00:00,Corner Boundary Road and Russell Street (Behind Chicken Shop),West End,4101,Drug Arm SOS (Street Outreach Service),Drinks and Biscuits,Free,Van,Active,-27.479,153.012
Saturday,20:00:00,Corner Boundary Road and Russell Street (Behind Chicken Shop),West End,4101,Drug Arm SOS (Street Outreach Service),Drinks and Biscuits,Free,Van,Active,-27.479,153.012
Tuesday,06:00:00,2439 Gold Coast Highway,Mermaid Beach,4218,Havafeed Community Relief,"Breakfast,Food Parcels & Hot Showers",Free,Kitchen,Active,-28.045,153.435
Thursday,06:00:00,2439 Gold Coast Highway,Mermaid Beach,4218,Havafeed Community Relief,"Breakfast, food parcels & hot showers",Free,Kitchen,Active,-28.045,153.436
Friday,11:00:00,2439 Gold Coast Hwy,Mermaid Beach,4218,Havafeed Community Relief,"Lunch, food parcels",Free,Kitchen,Active,-28.045,153.436
Sunday,08:00:00,2439 Gold Coast Hwy,Mermaid Beach,4218,Havafeed Community Relief,Light Breakfast & Coffee,Free,Kitchen,Active,-28.045,153.436
Monday,12:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Lunch 12 Noon Sharp,Free,Kitchen,Active,-26.624,152.958
Wednesday,12:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Lunch 12 Noon Sharp,Free,Kitchen,Active,-26.624,152.958
Tuesday,12:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Lunch 12 Noon Sharp,Free,Kitchen,Active,-26.624,152.958
Friday,12:00:00,19 Price Street,Nambour,4560,The Shack - Nambour,Lunch 12 Noon Sharp,Free,Kitchen,Active,-26.624,152.958
Sunday,17:45:00,753 Underwood Rd,Rochedale Sth,4123,Fishers of Men,"hot meal, desert, take-away meals, food parcels, clothes and blankets are available, as well as a Christian service.",Free,Kitchen,Active,-27.601,153.144
Wednesday,18:00:00,753 Underwood Rd,Rochedale Sth,4123,Fishers of Men,"hot meal, desert, take-away meals, food parcels, clothes and blankets are available, as well as a Christian service.",Free,Kitchen,Active,-27.601,153.144
Sunday,19:00:00,"Emma Miller Place, Roma Street",Brisbane,4000,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.466,153.019
Thursday,18:00:00,35 Princess Street,Kangaroo Point,4169,"Uniting Church, Kangaroo Point",Free meal,Free,Kitchen,Active,-27.483,153.037
Wednesday,20:00:00,"Little Roma Street Car Park, Cnr Turbot and Roma Streets",Brisbane,4000,Young People for Tomorrow,"Sandwiches, juice, tea, coffee & biscuits",Free,Van,Active,-27.466,153.019
Friday,19:15:00,"Little Roma Street Car Park, Cnr Turbot and Roma Streets",Brisbane,4000,Young People for Tomorrow,"Sandwiches, juice, tea, coffee & biscuits",Free,Van,Active,-27.466,153.019
Monday,09:00:00,1 Darling Street East,"Woodend, Ipswich",4305,Community Compassion,Food Hampers,$30,Kitchen,Active,-27.613,152.757
Tuesday,09:00:00,1 Darling Street East,"Woodend, Ipswich",4305,Community Compassion,Food Hampers,$30,Kitchen,Active,-27.613,152.757
Wednesday,09:00:00,1 Darling Street East,"Woodend, Ipswich",4305,Community Compassion,Food Hampers,$30,Kitchen,Active,-27.613,152.757
Thursday,09:00:00,1 Darling Street East,"Woodend, Ipswich",4305,Community Compassion,Food Hampers,$30,Kitchen,Active,-27.613,152.757
Friday,09:00:00,1 Darling Street East,"Woodend, Ipswich",4305,Community Compassion,Food Hampers,$30,Kitchen,Active,-27.613,152.757
Thursday,19:00:00,"Beenleigh Railway Station, Alamein Street",Beenleigh,4207,Rosies Youth Mission Inc,Drinks & Snacks,Free,Van,Active,-27.716,153.203
